Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
79,Jeff Teague,teaguje01,2015,2020,TOT,NBA,30.1,405,360,12179,8.1,18.2,6.3,13.4,1.8,4.8,5.7,6.6,0.7,4.1,4.8,11.2,2.1,0.6,4.2,3.4,23.5,.443,.471,.366,.492,.852,.557
80,Ja Morant,moranja01,2020,2020,MEM,NBA,30.0,59,59,1771,10.4,21.1,9.0,17.4,1.3,3.7,5.4,7.0,1.2,4.3,5.5,10.8,1.4,0.4,5.0,2.4,27.4,.491,.517,.367,.523,.770,.568
81,Marcus Morris,morrima03,2015,2020,TOT,NBA,30.0,424,323,12731,8.3,19.2,5.5,11.7,2.7,7.5,3.4,4.3,1.6,6.9,8.5,2.9,1.2,0.5,2.1,3.8,22.7,.432,.474,.367,.504,.779,.538
82,Isaiah Thomas,thomais02,2014,2020,TOT,NBA,29.9,381,262,11404,10.7,24.6,7.2,14.9,3.5,9.7,8.3,9.4,0.9,3.3,4.2,8.7,1.5,0.2,4.2,3.6,33.2,.434,.480,.363,.505,.874,.576
83,Kendrick Nunn,nunnke01,2020,2020,MIA,NBA,29.8,62,62,1846,10.1,22.5,6.6,12.9,3.5,9.6,2.0,2.4,0.5,3.9,4.5,5.6,1.4,0.3,2.7,3.8,25.7,.448,.512,.362,.525,.837,.545
84,Rui Hachimura,hachiru01,2020,2020,WAS,NBA,29.7,41,41,1217,8.4,17.5,7.6,14.7,0.8,2.8,3.5,4.3,2.4,7.1,9.5,2.7,1.3,0.3,1.6,3.4,21.0,.478,.517,.274,.500,.829,.543
85,Serge Ibaka,ibakase01,2015,2020,TOT,NBA,29.7,421,375,12518,9.5,19.3,7.6,14.1,1.9,5.3,2.4,3.0,2.9,9.1,12.0,1.7,0.8,2.6,2.4,4.6,23.4,.493,.543,.361,.542,.790,.565
86,Zion Williamson,willizi01,2020,2020,NOP,NBA,29.7,19,19,565,14.1,23.9,13.6,22.8,0.5,1.1,8.0,12.4,4.5,6.1,10.5,3.4,1.3,0.7,4.2,2.6,36.6,.589,.595,.462,.599,.645,.624
87,Wilson Chandler,chandwi01,2014,2020,TOT,NBA,29.3,371,270,10852,7.3,16.9,4.8,9.6,2.5,7.3,2.2,2.9,1.9,7.1,9.0,3.0,1.1,0.7,2.1,4.3,19.4,.435,.503,.345,.509,.749,.534
88,Jamal Murray,murraja01,2017,2020,DEN,NBA,29.3,293,219,8580,9.6,21.9,6.5,13.3,3.1,8.6,3.9,4.4,1.3,4.7,6.0,6.2,1.5,0.5,3.3,3.1,26.2,.439,.491,.358,.509,.882,.550
89,Jabari Parker,parkeja01,2015,2020,TOT,NBA,29.3,280,190,8193,10.3,21.0,9.1,17.2,1.2,3.8,3.7,5.0,2.6,7.2,9.8,3.5,1.6,0.7,3.1,3.6,25.5,.492,.528,.324,.521,.739,.551
90,Elfrid Payton,paytoel01,2015,2020,TOT,NBA,29.3,387,331,11350,7.6,16.8,6.9,14.5,0.7,2.4,2.6,4.1,1.9,5.5,7.4,11.2,2.2,0.6,4.1,3.7,18.5,.452,.479,.289,.473,.625,.496
91,J.J. Redick,redicjj01,2015,2020,TOT,NBA,29.3,431,399,12624,9.2,20.0,4.6,9.3,4.6,10.7,4.3,4.8,0.3,3.5,3.8,3.4,0.9,0.2,2.1,2.8,27.3,.459,.489,.432,.574,.896,.616
92,Julius Randle,randlju01,2015,2020,TOT,NBA,29.2,375,295,10934,10.1,20.4,9.3,17.9,0.7,2.5,5.8,8.0,3.6,11.3,14.9,4.6,1.1,0.8,4.1,5.3,26.7,.493,.521,.295,.511,.724,.557
93,Kevin Huerter,huertke01,2019,2020,ATL,NBA,29.1,131,107,3808,6.4,15.4,3.2,7.1,3.2,8.4,1.1,1.5,1.2,4.6,5.8,5.2,1.4,0.6,2.4,3.6,17.2,.416,.455,.383,.520,.783,.535
94,Mychal Mulder,muldemy01,2020,2020,GSW,NBA,29.1,7,3,204,6.1,15.7,2.3,3.5,3.8,12.2,2.1,2.8,0.7,4.7,5.4,1.9,0.5,0.2,1.2,4.7,18.1,.388,.667,.308,.507,.750,.533
95,Steven Adams,adamsst01,2015,2020,OKC,NBA,29.0,444,441,12894,7.7,13.0,7.7,13.0,0.0,0.0,3.0,5.4,6.3,7.5,13.9,2.1,1.6,1.8,2.6,4.4,18.5,.593,.595,.100,.593,.555,.599
96,Patrick Beverley,beverpa01,2015,2020,TOT,NBA,29.0,331,293,9596,5.4,13.0,2.6,5.7,2.8,7.3,1.6,2.1,1.9,6.0,7.9,6.2,2.0,0.7,2.3,5.5,15.2,.414,.453,.383,.522,.743,.543
97,Gary Harris,harriga01,2015,2020,DEN,NBA,29.0,368,306,10663,7.8,17.1,5.3,10.1,2.5,7.0,2.7,3.3,1.1,3.4,4.5,3.6,2.1,0.4,2.1,3.0,20.7,.454,.519,.360,.528,.803,.558
98,Nikola Jokić,jokicni01,2016,2020,DEN,NBA,29.0,373,332,10819,11.1,21.2,9.6,16.6,1.5,4.6,5.1,6.2,4.4,12.0,16.5,9.3,1.9,1.2,4.3,4.8,28.8,.524,.576,.338,.561,.825,.604
99,D'Angelo Russell,russeda01,2016,2020,TOT,NBA,29.0,317,269,9204,10.8,25.6,6.8,14.6,3.9,11.1,3.7,4.8,0.9,5.3,6.2,8.8,1.9,0.4,4.8,3.1,29.2,.420,.468,.356,.497,.772,.526
100,Marcus Smart,smartma01,2015,2020,BOS,NBA,29.0,394,182,11409,5.6,14.9,3.1,7.2,2.5,7.8,3.1,4.0,1.5,4.5,6.1,6.9,2.6,0.6,2.9,4.4,16.7,.374,.434,.318,.456,.774,.501
101,J.R. Smith,smithjr01,2015,2019,TOT,NBA,29.0,279,228,8095,6.6,16.5,2.8,6.3,3.9,10.2,1.0,1.4,0.7,4.3,5.0,3.4,1.8,0.4,1.7,3.9,18.1,.402,.438,.379,.519,.696,.528
102,Rudy Gay,gayru01,2015,2020,TOT,NBA,28.7,354,229,10160,9.8,21.1,8.1,16.1,1.8,5.0,4.8,5.8,2.1,8.2,10.3,3.9,1.7,1.1,3.2,3.7,26.2,.466,.501,.352,.508,.827,.554
103,Derrick Rose,rosede01,2015,2020,TOT,NBA,28.7,307,216,8819,11.6,25.7,10.3,21.2,1.4,4.5,4.6,5.4,1.2,4.0,5.2,7.8,1.1,0.4,4.1,2.0,29.2,.452,.485,.297,.478,.843,.519
104,Malcolm Brogdon,brogdma01,2017,2020,TOT,NBA,28.6,235,160,6722,8.7,18.5,6.5,12.7,2.2,5.8,3.4,3.8,1.3,5.2,6.4,7.4,1.5,0.3,2.8,3.3,23.1,.472,.511,.385,.532,.895,.572
105,Aaron Gordon,gordoaa01,2015,2020,ORL,NBA,28.6,399,310,11414,8.3,18.5,6.4,12.6,1.9,5.9,3.5,5.0,2.7,8.3,11.0,4.1,1.3,1.1,2.4,3.5,22.0,.447,.508,.318,.498,.701,.530
106,Brook Lopez,lopezbr01,2015,2020,TOT,NBA,28.6,436,405,12458,10.2,21.2,8.1,15.3,2.0,5.9,4.5,5.6,2.7,6.9,9.6,2.7,1.0,3.1,2.7,4.4,26.8,.479,.534,.339,.527,.796,.566
107,Otto Porter,porteot01,2015,2020,TOT,NBA,28.6,376,295,10759,7.9,16.4,5.4,10.2,2.5,6.1,2.1,2.6,2.1,7.0,9.1,2.8,2.2,0.8,1.5,3.4,20.5,.485,.531,.407,.561,.791,.584
