Player,Pos,Tm,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Goran Dragić,PG,MIA,9.8,21,7.5,14.8,2.3,6.2,4.3,5.6,1.2,4.5,5.8,8.1,1.5,0.3,3.8,3.9,26.2,0.465,0.508,0.364,0.519,0.778,0.557
Andre Drummond,C,TOT,10.1,19.3,10.1,18.9,0,0.3,3.9,8.2,7.7,15.4,23,2.4,2.3,2.4,3.4,5.1,24.2,0.526,0.533,0.141,0.528,0.473,0.529
Kris Dunn,PG,CHI,6.9,16.2,5.7,12.6,1.1,3.7,1.9,2.6,0.8,6,6.8,8.4,3.1,0.9,3.7,6,16.7,0.422,0.456,0.306,0.457,0.726,0.481
Joel Embiid,C,PHI,12.6,26.3,10.7,20.6,1.8,5.7,10.7,13.5,3.8,14.3,18,4.9,1.2,2.8,5.5,5.3,37.7,0.479,0.523,0.322,0.514,0.794,0.586
Derrick Favors,C,NOP,9.9,18.3,9.8,17.4,0.2,0.8,3.9,5.8,4.9,9.5,14.4,2.6,1.5,2.4,2.5,4.3,23.9,0.543,0.559,0.214,0.548,0.666,0.574
Dorian Finney-Smith,PF,DAL,5.1,11.9,3,5.5,2.1,6.4,1.7,2.3,2.8,5.8,8.6,2.4,1.5,0.8,1.7,4.2,13.9,0.425,0.541,0.327,0.514,0.725,0.538
Evan Fournier,SG,ORL,9,20,5.9,11.7,3.2,8.4,3.8,4.7,0.7,3.9,4.6,4.6,1.5,0.2,2.8,4,25.1,0.451,0.505,0.376,0.53,0.813,0.567
De'Aaron Fox,PG,SAC,9.4,20.9,7.9,16.6,1.5,4.3,5.3,7.4,0.9,4.7,5.6,9.8,2.2,0.7,4.4,4,25.5,0.448,0.478,0.335,0.483,0.718,0.528
Markelle Fultz,PG,ORL,8.4,18.3,7.7,15.7,0.7,2.6,2.6,3.9,1.4,4.9,6.3,8.7,2.2,0.4,3.4,3.9,20,0.456,0.489,0.256,0.475,0.668,0.499
Danilo Gallinari,PF,OKC,8.4,19.4,5,10.7,3.4,8.7,7.8,8.8,1.1,7.1,8.2,3.4,1.1,0.5,2,2.5,28,0.433,0.467,0.39,0.52,0.892,0.602
Darius Garland,PG,CLE,7.5,18.6,4.7,10.7,2.8,7.9,1.7,1.9,0.7,2.2,3,6.1,1.1,0.1,4,2.5,19.4,0.401,0.434,0.355,0.476,0.875,0.498
Marc Gasol,C,TOR,9.1,20.1,7.7,16.1,1.5,4,5.3,6.5,1.7,9.8,11.5,6.4,1.4,2.1,3.4,4,25,0.455,0.478,0.365,0.492,0.809,0.545
Rudy Gay,PF,SAS,9.8,21.1,8.1,16.1,1.8,5,4.8,5.8,2.1,8.2,10.3,3.9,1.7,1.1,3.2,3.7,26.2,0.466,0.501,0.352,0.508,0.827,0.554
Paul George,SF,LAC,11,25.2,6.7,14.3,4.2,10.8,6.8,8,1.3,8,9.3,5.2,2.6,0.6,4,3.9,32.9,0.435,0.47,0.389,0.519,0.855,0.574
Shai Gilgeous-Alexander,SG,OKC,8.6,18,7.1,14.1,1.4,3.9,4.5,5.6,1.1,5.6,6.7,5.2,1.8,1,2.8,3.1,23,0.474,0.507,0.357,0.513,0.801,0.561
Rudy Gobert,C,UTA,7.5,11.6,7.5,11.6,0,0,5.3,8.4,5.6,13.3,18.9,2.4,1.2,3.7,2.8,4.4,20.3,0.643,0.644,0,0.643,0.633,0.662
Aaron Gordon,PF,ORL,8.3,18.5,6.4,12.6,1.9,5.9,3.5,5,2.7,8.3,11,4.1,1.3,1.1,2.4,3.5,22,0.447,0.508,0.318,0.498,0.701,0.53
Eric Gordon,SG,HOU,8.4,20.4,3.8,8.2,4.6,12.3,3.4,4.1,0.5,3.2,3.7,3.9,1.1,0.6,2.5,3.2,24.7,0.41,0.469,0.371,0.521,0.815,0.554
Devonte' Graham,PG,CHO,7.6,20.3,3.3,8.2,4.3,12.2,3.9,4.8,0.9,3.8,4.7,10.2,1.5,0.3,3.6,2.8,23.5,0.375,0.402,0.357,0.482,0.81,0.523
Jerami Grant,PF,DEN,6.4,13.9,4.8,9.3,1.6,4.6,3.9,5.8,1.9,5.8,7.7,2.1,1.2,2.2,1.9,4.5,18.4,0.463,0.521,0.348,0.521,0.666,0.558
Danny Green,SG,LAL,6,14.3,2.3,5.1,3.6,9.2,1.2,1.5,1.2,5.8,7,3.2,2,1.6,1.9,3.6,16.8,0.415,0.457,0.392,0.542,0.813,0.559
Draymond Green,PF,GSW,5.8,13,4.2,7.9,1.6,5.1,2.8,3.9,1.8,10.1,11.9,9.6,2.3,1.8,3.8,4.3,16,0.447,0.526,0.323,0.51,0.709,0.544
Blake Griffin,PF,DET,11.6,24.7,9.8,19.5,1.8,5.2,7.1,9.4,2.2,8.8,11,7.5,1.2,0.6,3.9,3.8,32.1,0.471,0.505,0.343,0.507,0.753,0.557
Rui Hachimura,PF,WAS,8.4,17.5,7.6,14.7,0.8,2.8,3.5,4.3,2.4,7.1,9.5,2.7,1.3,0.3,1.6,3.4,21,0.478,0.517,0.274,0.5,0.829,0.543
Tim Hardaway Jr.,SG,DAL,9,21.5,5.3,10.8,3.8,10.7,4,4.9,0.7,4.6,5.3,3.8,1.2,0.3,2.2,3,25.8,0.42,0.486,0.353,0.507,0.812,0.545
