Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
32,Eric Gordon,gordoer01,2009,2020,TOT,NBA,32.8,663,509,21755,8.7,20.5,5.1,10.7,3.6,9.8,4.6,5.7,0.6,3.2,3.8,4.4,1.4,0.5,3.0,3.1,25.6,.425,.475,.370,.513,.811,.558
33,Trae Young,youngtr01,2019,2020,ATL,NBA,32.8,141,141,4623,10.7,25.1,7.1,14.6,3.6,10.5,8.3,9.8,1.0,4.6,5.6,12.2,1.4,0.2,6.0,2.4,33.4,.428,.488,.344,.500,.847,.567
34,Luka Dončić,doncilu01,2019,2020,DAL,NBA,32.7,126,126,4117,12.0,27.0,8.2,15.2,3.8,11.8,8.4,11.5,1.8,10.7,12.5,10.6,1.6,0.4,5.6,3.2,36.2,.443,.537,.322,.514,.733,.564
35,Al Horford,horfoal01,2008,2020,TOT,NBA,32.7,846,839,27633,9.2,17.7,8.4,15.4,0.8,2.3,2.6,3.5,3.3,9.7,13.0,5.2,1.3,1.9,2.5,3.6,21.9,.520,.544,.361,.543,.754,.569
36,Derrick Rose,rosede01,2009,2020,TOT,NBA,32.6,596,504,19402,11.5,25.3,10.3,21.2,1.2,4.1,5.2,6.3,1.3,4.0,5.4,8.8,1.2,0.5,4.2,2.0,29.5,.456,.485,.304,.481,.827,.526
37,Giannis Antetokounmpo,antetgi01,2014,2020,MIL,NBA,32.5,522,457,16983,11.1,21.2,10.3,18.1,0.9,3.1,7.3,10.1,2.6,11.0,13.5,6.6,1.8,2.0,4.2,4.6,30.5,.525,.566,.285,.546,.724,.594
38,Lonzo Ball,balllo01,2018,2020,TOT,NBA,32.4,155,142,5020,6.0,15.4,3.2,7.1,2.8,8.3,0.8,1.7,1.7,7.2,9.0,9.6,2.2,0.9,3.8,3.2,15.8,.393,.450,.343,.485,.484,.488
39,Mike Conley,conlemi01,2008,2020,TOT,NBA,32.4,829,793,26871,8.5,19.3,6.2,13.3,2.3,6.0,4.6,5.6,0.7,4.1,4.8,9.1,2.3,0.3,3.2,3.2,23.8,.439,.468,.375,.498,.818,.547
40,Collin Sexton,sextoco01,2019,2020,CLE,NBA,32.3,147,137,4748,10.7,23.8,8.5,18.0,2.2,5.7,4.6,5.4,1.2,3.3,4.6,4.5,1.1,0.1,3.6,3.4,28.2,.450,.469,.392,.497,.843,.539
41,Brandon Ingram,ingrabr01,2017,2020,TOT,NBA,32.2,246,207,7933,8.8,19.0,7.2,14.6,1.6,4.4,4.8,6.7,1.2,6.2,7.4,4.7,1.1,0.9,3.4,3.8,23.9,.460,.492,.357,.502,.720,.544
